                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5813,                      0,                0.58333,                 2.3083,                      0,                      0,                      0
                      2,                 2.5813,                0.08333,                0.58333,                 2.3086,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                 2.5531,                      0,                0.58333,                 2.3072,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 2.4975,                      0,                0.58333,                 2.3058,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                 2.4156,                      0,                0.58333,                 2.3047,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                 2.3091,                0.08333,                0.58333,                 2.3041,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 2.1805,                0.08333,                0.58333,                 2.3037,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                 2.0337,                0.08333,                0.66667,                 2.3036,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                 1.8742,                0.16667,                0.58333,                 2.3038,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                 1.7086,                0.16667,                0.66667,                 2.3043,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                 1.5431,                0.16667,                0.66667,                 2.3051,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                 1.3832,                0.16667,                0.66667,                  2.306,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                  1.232,                0.16667,                0.66667,                 2.3072,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                 1.0911,                0.16667,                0.66667,                 2.3084,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                0.96199,                0.16667,                0.66667,                 2.3096,             8.6106e-05,             8.6106e-05,             8.6106e-05
